blk_read_time,blk_write_time,checkpoints_req,checkpoints_timed,deadlocks,effective_cache_size,latency average,maintenance_work_mem,max_parallel_workers_per_gather,max_wal_size,number of failed transactions,number of transactions actually processed,random_page_cost,shared_buffers,temp_bytes,tps,trial,wal_buffers,work_mem
0.0,0.0,1862.0,74.0,0.0,4096MB,13.174,128MB,4,2048MB,0.0,2906709.0,1.0550213529560302,10GB,20040171520.0,4846.391749,0,256MB,2MB
0.0,0.0,1869.0,74.0,0.0,8192MB,12.971,256MB,5,8192MB,0.0,2951981.0,1.0293016342019152,14GB,20040171520.0,4922.032913,1,192MB,2MB
0.0,0.0,1880.0,74.0,0.0,4096MB,13.719,64MB,4,6144MB,0.0,2791107.0,1.0975990992289792,10GB,20040171520.0,4653.559821,2,128MB,14MB
0.0,0.0,1894.0,74.0,0.0,4096MB,15.193,128MB,7,6144MB,0.0,2520703.0,1.1869894380482675,14GB,20040171520.0,4202.756596,3,256MB,20MB
0.0,0.0,1931.0,74.0,0.0,10240MB,15.269,64MB,6,2048MB,0.0,2508459.0,1.1525712073494108,6GB,20040171520.0,4182.397634,4,192MB,20MB
0.0,0.0,1967.0,74.0,0.0,10240MB,15.15,256MB,4,2048MB,0.0,2528186.0,1.1281323365878768,12GB,20040171520.0,4215.253195,5,64MB,14MB
0.0,0.0,1985.0,74.0,0.0,2048MB,14.735,128MB,7,4096MB,0.0,2599319.0,1.1508037069686585,12GB,20040171520.0,4333.795322,6,128MB,14MB
0.0,0.0,2020.0,74.0,0.0,8192MB,14.805,32MB,4,2048MB,0.0,2587002.0,1.1772678829564727,6GB,20040171520.0,4313.243241,7,256MB,2MB
0.0,0.0,2029.0,74.0,0.0,10240MB,14.76,64MB,3,8192MB,0.0,2594911.0,1.269164727385998,12GB,20040171520.0,4326.64131,8,256MB,8MB
0.0,0.0,2037.0,74.0,0.0,8192MB,13.802,32MB,6,8192MB,0.0,2774544.0,1.067280792838168,6GB,20040171520.0,4625.565895,9,192MB,2MB
0.0,0.0,2046.0,74.0,0.0,6144MB,14.662,256MB,5,8192MB,0.0,2612236.0,1.0044020776021219,14GB,20040171520.0,4355.420352,10,192MB,8MB
0.0,0.0,2063.0,74.0,0.0,6144MB,15.001,128MB,5,4096MB,0.0,2553369.0,1.0077257147046537,10GB,20040171520.0,4257.415362,11,64MB,2MB
0.0,0.0,2080.0,74.0,0.0,2048MB,14.57,256MB,2,4096MB,0.0,2628888.0,1.0544785394582952,14GB,20040171520.0,4383.208526,12,256MB,8MB
0.0,0.0,2092.0,74.0,0.0,4096MB,14.549,256MB,5,6144MB,0.0,2632193.0,1.0488726983105494,10GB,20040171520.0,4388.746948,13,192MB,2MB
0.0,0.0,2109.0,74.0,0.0,8192MB,14.94,128MB,2,4096MB,0.0,2563774.0,1.0992738525420445,10GB,20040171520.0,4274.519866,14,256MB,2MB
0.0,0.0,2120.0,74.0,0.0,6144MB,14.571,256MB,3,6144MB,0.0,2628453.0,1.2461416759560076,14GB,20040171520.0,4382.406466,15,192MB,8MB
0.0,0.0,2155.0,74.0,0.0,4096MB,15.096,128MB,5,2048MB,0.0,2536779.0,1.0265483917769707,10GB,20040171520.0,4230.387574,16,128MB,2MB
0.0,0.0,2163.0,74.0,0.0,6144MB,13.978,32MB,4,8192MB,0.0,2739786.0,1.092695442284074,14GB,20040171520.0,4568.236715,17,64MB,8MB
0.0,0.0,2181.0,74.0,0.0,8192MB,15.17,256MB,4,4096MB,0.0,2525076.0,1.0374087904333977,14GB,20040171520.0,4210.065944,18,256MB,2MB
0.0,0.0,2193.0,74.0,0.0,2048MB,14.721,128MB,2,6144MB,0.0,2601786.0,1.0734251601828655,10GB,20040171520.0,4338.023678,19,192MB,8MB
0.0,0.0,2202.0,74.0,0.0,6144MB,14.781,256MB,5,8192MB,0.0,2591290.0,1.2282165493551083,10GB,20040171520.0,4320.445568,20,256MB,2MB
0.0,0.0,2213.0,74.0,0.0,4096MB,14.926,64MB,4,6144MB,0.0,2566128.0,1.1110981018752908,10GB,20040171520.0,4278.514157,21,128MB,14MB
0.0,0.0,2226.0,74.0,0.0,4096MB,14.607,64MB,4,6144MB,0.0,2621840.0,1.0843996550559514,10GB,20040171520.0,4371.479288,22,128MB,14MB
0.0,0.0,2235.0,74.0,0.0,4096MB,14.651,64MB,4,8192MB,0.0,2614082.0,1.0237319187317946,10GB,20040171520.0,4358.52115,23,128MB,20MB
